Hora,Temperatura,Estimulo
13:38:53,30.75,100
13:39:04,30.80,100
13:39:15,30.70,100
13:39:26,30.93,100
13:39:37,30.82,100
13:39:48,30.77,100
13:39:59,31.07,100
13:40:10,31.27,100
13:40:21,31.60,100
13:40:33,32.20,100
13:40:44,32.90,100
13:40:55,33.62,100
13:41:06,34.83,100
13:41:17,36.30,100
13:41:28,37.85,100
13:41:39,39.58,100
13:41:50,41.55,100
13:42:01,44.08,100
13:42:12,46.38,100
13:42:23,48.70,100
13:42:34,51.45,100
13:42:46,54.35,100
13:42:57,57.02,100
13:43:08,59.85,100
13:43:19,62.77,100
13:43:30,65.75,100
13:43:41,68.75,100
13:43:52,71.75,100
13:44:03,74.58,100
13:44:14,77.53,100
13:44:25,80.42,100
13:44:36,83.38,100
13:44:48,86.28,100
13:44:59,89.00,100
13:45:10,91.50,100
13:45:21,94.30,100
13:45:32,96.70,100
13:45:43,99.50,100
13:45:54,102.00,100
13:46:05,104.50,100
13:46:16,106.67,100
13:46:27,109.30,100
13:46:39,111.65,100
13:46:50,114.12,100
13:47:01,116.30,100
13:47:12,118.25,100
13:47:23,120.03,100
13:47:34,121.88,100
13:47:45,123.83,100
13:47:56,126.05,100
13:48:07,128.18,100
13:48:18,130.38,100
13:48:30,132.35,100
13:48:41,133.80,100
13:48:52,134.90,100
13:49:03,136.78,100
13:49:14,138.78,100
13:49:25,141.12,100
13:49:36,143.18,100
13:49:47,145.20,100
13:49:58,146.50,100
13:50:09,147.45,100
13:50:21,148.43,100
13:50:32,150.05,100
13:50:43,151.80,100
13:50:54,153.60,100
13:51:05,155.65,100
13:51:16,157.43,100
13:51:27,158.80,100
13:51:38,160.03,100
13:51:49,161.15,100
13:52:00,162.50,100
13:52:11,163.85,100
13:52:23,165.38,100
13:52:34,166.18,100
13:52:45,166.78,100
13:52:56,167.90,100
13:53:07,169.62,100
13:53:18,171.32,100
13:53:29,172.53,100
13:53:40,173.82,100
13:53:51,175.05,100
13:54:02,176.10,100
13:54:13,177.43,100
13:54:25,178.95,100
13:54:36,180.20,100
13:54:47,181.35,100
13:54:58,182.35,100
13:55:09,182.85,100
13:55:20,182.82,100
13:55:31,183.03,100
13:55:42,184.07,100
13:55:53,185.43,100
13:56:05,187.10,100
13:56:16,188.72,100
13:56:27,189.62,100
13:56:38,189.88,100
13:56:49,190.93,100
13:57:00,192.60,100
13:57:11,194.18,100
13:57:22,195.85,100
13:57:33,196.88,100
13:57:44,197.43,100
13:57:55,197.72,100
13:58:06,198.30,100
13:58:18,199.32,100
13:58:29,200.68,100
13:58:40,202.28,100
13:58:51,203.75,100
13:59:02,205.28,100
13:59:13,206.53,100
13:59:24,207.68,100
13:59:35,208.43,100
13:59:46,209.45,100
13:59:58,210.68,100
14:00:09,211.35,100
14:00:20,211.85,100
14:00:31,212.53,100
14:00:42,213.30,100
14:00:53,214.28,100
14:01:04,215.28,100
14:01:15,216.38,100
14:01:26,217.47,100
14:01:37,218.88,100
14:01:48,219.85,100
14:01:59,220.70,100
