datetime,temperature,regulator,error,inAuto,ready,lowerPower,upperPower
16:09:59,38.97,0.00,-38.97,0,0,0,0
16:10:09,59.72,0.00,-59.72,0,0,100,0
16:10:19,65.17,0.00,-65.17,0,0,100,0
16:10:30,64.70,0.00,-64.70,0,0,100,0
16:10:40,64.85,0.00,-64.85,0,0,100,0
16:10:51,64.57,0.00,-64.57,0,0,100,0
16:11:01,64.47,0.00,-64.47,0,0,100,0
16:11:11,64.69,0.00,-64.69,0,0,100,0
16:11:21,64.42,0.00,-64.42,0,0,100,0
16:11:31,64.69,0.00,-64.69,0,0,100,0
16:11:42,64.84,0.00,-64.84,0,0,100,0
16:11:52,64.82,0.00,-64.82,0,0,100,0
16:12:02,64.64,0.00,-64.64,0,0,100,0
16:12:12,64.74,0.00,-64.74,0,0,100,0
16:12:22,64.49,0.00,-64.49,0,0,100,0
16:12:32,64.69,0.00,-64.69,0,0,100,0
16:12:42,64.74,0.00,-64.74,0,0,100,0
16:12:52,64.77,0.00,-64.77,0,0,100,0
16:13:03,64.74,0.00,-64.74,0,0,100,0
16:13:13,64.92,0.00,-64.92,0,0,100,0
16:13:23,64.92,0.00,-64.92,0,0,100,0
16:13:33,65.24,0.00,-65.24,0,0,100,0
16:13:43,65.09,0.00,-65.09,0,0,100,0
16:13:53,64.84,0.00,-64.84,0,0,100,0
16:14:03,64.87,0.00,-64.87,0,0,100,0
16:14:13,65.09,0.00,-65.09,0,0,100,0
16:14:24,64.87,0.00,-64.87,0,0,100,0
16:14:34,64.99,0.00,-64.99,0,0,100,0
16:14:44,65.29,0.00,-65.29,0,0,100,0
16:14:54,64.97,0.00,-64.97,0,0,100,0
16:15:04,65.32,0.00,-65.32,0,0,100,0
16:15:14,65.44,0.00,-65.44,0,0,100,0
16:15:24,65.39,0.00,-65.39,0,0,100,0
16:15:35,65.64,0.00,-65.64,0,0,100,0
16:15:45,65.49,0.00,-65.49,0,0,100,0
16:15:55,65.54,0.00,-65.54,0,0,100,0
16:16:06,65.64,0.00,-65.64,0,0,100,0
16:16:16,65.87,0.00,-65.87,0,0,100,0
16:16:26,65.64,0.00,-65.64,0,0,100,0
16:16:36,65.69,0.00,-65.69,0,0,100,0
16:16:47,65.94,0.00,-65.94,0,0,100,0
16:16:57,66.09,0.00,-66.09,0,0,100,0
16:17:07,66.14,0.00,-66.14,0,0,100,0
16:17:18,62.87,0.00,-62.87,0,0,0,0
16:17:28,66.60,0.00,-66.60,0,0,0,0
16:17:38,66.97,0.00,-66.97,0,0,0,0
16:17:48,67.05,0.00,-67.05,0,0,0,0
16:17:59,67.27,0.00,-67.27,0,0,0,0
16:18:09,67.50,0.00,-67.50,0,0,0,0
16:18:19,67.65,0.00,-67.65,0,0,0,0
16:18:29,67.57,0.00,-67.57,0,0,0,0
16:18:39,68.05,0.00,-68.05,0,0,0,0
16:18:49,68.10,0.00,-68.10,0,0,0,0
16:18:59,68.30,0.00,-68.30,0,0,0,0
